match_number,innings,team,over,ball,batter,bowler,fielder,position,short_description,pick,throw,catches,dropped_catches,stumpings,run_outs,missed_run_outs,direct_hits,runs_saved,venue,zone,clean_picks,good_throws
3rd T20I,2,India,1,1,Jason Roy,Jasprit Bumrah,Virat Kohli (C),Long-on / Extra Cover,Catch at Long-on / Extra Cover: plucked safely out of the air.,1,1,1,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,1,2,Jason Roy,Jasprit Bumrah,Hardik Pandya,Deep Mid-wicket,Catch at Deep Mid-wicket: judged nicely near the boundary cushion.,1,1,1,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,1,3,Jason Roy,Jasprit Bumrah,Suresh Raina,Point,Catch at Point: secure collection with soft hands.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,1,4,Jason Roy,Jasprit Bumrah,KL Rahul,Cover,Catch at Cover: swallowed safely without a spill.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,1,5,Jason Roy,Jasprit Bumrah,Yuvraj Singh,Mid-wicket,Catch at Mid-wicket: taken cleanly under pressure.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,1,6,Jason Roy,Jasprit Bumrah,Rishabh Pant,Mid-off,Catch at Mid-off: plucked safely out of the air.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,2,1,Sam Billings,Yuzvendra Chahal,Amit Mishra,Short Fine Leg,Catch at Short Fine Leg: judged nicely near the boundary cushion.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,2,2,Sam Billings,Yuzvendra Chahal,Jasprit Bumrah,Mid-on,At Mid-on: clean pick on the run and quick return throw.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,2,3,Sam Billings,Yuzvendra Chahal,Ashish Nehra,Fine Leg,"At Fine Leg: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,2,4,Sam Billings,Yuzvendra Chahal,Yuzvendra Chahal,Deep Cover,At Deep Cover: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,2,5,Sam Billings,Yuzvendra Chahal,MS Dhoni (WK),Wicketkeeper,Catch at Wicketkeeper: plucked safely out of the air.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,2,6,Sam Billings,Yuzvendra Chahal,Virat Kohli (C),Long-on / Extra Cover,Catch at Long-on / Extra Cover: judged nicely near the boundary cushion.,1,1,1,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,3,1,Sam Billings,Hardik Pandya,Hardik Pandya,Deep Mid-wicket,Catch at Deep Mid-wicket: secure collection with soft hands.,1,1,1,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,3,2,Sam Billings,Hardik Pandya,Suresh Raina,Point,Catch at Point: swallowed safely without a spill.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,3,3,Sam Billings,Hardik Pandya,KL Rahul,Cover,Catch at Cover: taken cleanly under pressure.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,3,4,Sam Billings,Hardik Pandya,Yuvraj Singh,Mid-wicket,At Mid-wicket: clean pick on the run and quick return throw.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,3,5,Sam Billings,Hardik Pandya,Rishabh Pant,Mid-off,"At Mid-off: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,3,6,Sam Billings,Hardik Pandya,Amit Mishra,Short Fine Leg,At Short Fine Leg: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,4,1,Joe Root,Amit Mishra,Jasprit Bumrah,Mid-on,At Mid-on: gathered smoothly and whipped back to bowler.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,4,2,Joe Root,Amit Mishra,Ashish Nehra,Fine Leg,At Fine Leg: clean pick on the run and quick return throw.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,4,3,Joe Root,Amit Mishra,Yuzvendra Chahal,Deep Cover,"At Deep Cover: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,4,4,Joe Root,Amit Mishra,MS Dhoni (WK),Wicketkeeper,Catch at Wicketkeeper: judged nicely near the boundary cushion.,1,1,1,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Wicketkeeper,1,1
3rd T20I,2,India,4,5,Joe Root,Amit Mishra,Virat Kohli (C),Long-on / Extra Cover,Fielding save at Long-on / Extra Cover: quick boundary sweep saving vital runs.,1,1,0,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,4,6,Joe Root,Amit Mishra,Hardik Pandya,Deep Mid-wicket,Fielding save at Deep Mid-wicket: diving effort cutting off a certain single.,1,1,0,0,0,0,0,0,1,"M. Chinnaswamy Stadium, Bengaluru",Outfield,1,1
3rd T20I,2,India,5,1,Joe Root,Ashish Nehra,Suresh Raina,Point,"At Point: swooped in rapidly, firing back to the keeper.",1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,5,2,Joe Root,Ashish Nehra,KL Rahul,Cover,At Cover: neat collection and controlled release.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,5,3,Joe Root,Ashish Nehra,Yuvraj Singh,Mid-wicket,At Mid-wicket: gathered smoothly and whipped back to bowler.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
3rd T20I,2,India,5,4,Joe Root,Ashish Nehra,Rishabh Pant,Mid-off,At Mid-off: clean pick on the run and quick return throw.,1,1,0,0,0,0,0,0,0,"M. Chinnaswamy Stadium, Bengaluru",Infield,1,1
